window,i_start,i_end,depth,mean_soc,count
10-90%,487,501,0.8000000000000003,0.5000000000000001,0.5
10-90%,501,513,0.8000000000000003,0.5000000000000001,0.5
10-90%,515,519,0.8,0.5,1.0
10-90%,529,544,0.5241424022194038,0.3620712011097018,1.0
10-90%,552,555,9.473903143468003e-17,0.5592295600521836,1.0
10-90%,513,549,0.8000000000000003,0.5000000000000001,0.5
10-90%,576,580,1.8947806286936006e-16,0.9,1.0
10-90%,581,584,1.8947806286936006e-16,0.9,1.0
10-90%,588,592,0.5241424022194038,0.6379287988902981,1.0
10-90%,549,585,0.8000000000000003,0.5000000000000001,0.5
10-90%,585,596,0.8000000000000003,0.5000000000000001,0.5
10-90%,603,604,2.842170943040401e-16,0.6593041151524871,1.0
10-90%,605,608,0.47696961539728866,0.6615151923013557,1.0
10-90%,596,602,0.8000000000000003,0.5000000000000001,0.5
10-90%,602,618,0.8000000000000003,0.5000000000000001,0.5
10-90%,692,694,0.2482848044388076,0.5,1.0
10-90%,675,688,0.8,0.5,1.0
10-90%,618,661,0.8000000000000003,0.5000000000000001,0.5
10-90%,661,701,0.8000000000000003,0.5000000000000001,0.5
10-90%,707,719,0.5920286464510269,0.6039856767744868,1.0
10-90%,701,728,0.8000000000000003,0.5000000000000001,0.5
10-90%,736,745,0.08663654087094401,0.143318270435472,1.0
10-90%,750,769,0.8,0.5,1.0
10-90%,728,731,0.8000000000000003,0.5000000000000001,0.5
10-90%,792,799,0.8,0.5,1.0
10-90%,731,785,0.8000000000000003,0.5000000000000001,0.5
10-90%,802,804,5.921189464667501e-17,0.09999999999999995,1.0
10-90%,808,820,0.8,0.5,1.0
10-90%,785,805,0.8000000000000003,0.5000000000000001,0.5
10-90%,805,826,0.8000000000000003,0.5000000000000001,0.5
10-90%,828,832,0.5117342219045351,0.3558671109522675,1.0
10-90%,834,835,5.921189464667501e-17,0.09999999999999995,1.0
10-90%,836,839,0.4348485886219149,0.31742429431095737,1.0
10-90%,848,866,0.21307620713246064,0.2065381035662303,1.0
10-90%,875,877,0.8,0.5,1.0
10-90%,826,840,0.8000000000000003,0.5000000000000001,0.5
10-90%,883,885,0.5241424022194038,0.3620712011097019,1.0
10-90%,840,881,0.8000000000000003,0.5000000000000001,0.5
10-90%,890,905,0.8,0.5,1.0
10-90%,924,926,0.2775935655331944,0.7612032172334028,1.0
10-90%,909,928,0.8,0.5,1.0
10-90%,881,937,0.8000000000000003,0.5000000000000001,0.5
10-90%,951,952,1.8947806286936006e-16,0.9,1.0
10-90%,958,960,1.8947806286936006e-16,0.9,1.0
10-90%,974,976,0.8,0.5,1.0
10-90%,937,964,0.8000000000000003,0.5000000000000001,0.5
10-90%,964,979,0.8000000000000003,0.5000000000000001,0.5
10-90%,986,994,0.8000000000000002,0.5000000000000001,1.0
10-90%,998,1000,1.8947806286936006e-16,0.9,1.0
10-90%,979,1001,0.8000000000000003,0.5000000000000001,0.5
10-90%,1003,1006,5.921189464667501e-17,0.09999999999999995,1.0
10-90%,1007,1009,5.921189464667501e-17,0.09999999999999995,1.0
10-90%,1010,1011,5.921189464667501e-17,0.09999999999999995,1.0
10-90%,1049,1056,0.001214144342249798,0.10060707217112487,1.0
10-90%,1001,1012,0.8000000000000003,0.5000000000000001,0.5
10-90%,1012,1086,0.8000000000000003,0.5000000000000001,0.5
10-90%,1101,1102,0.1539392307945773,0.5,1.0
10-90%,1086,1092,0.8000000000000003,0.5000000000000001,0.5
10-90%,1104,1106,1.8947806286936006e-16,0.9,1.0
10-90%,1107,1109,1.8947806286936006e-16,0.9,1.0
10-90%,1092,1111,0.8000000000000003,0.5000000000000001,0.5
10-90%,1116,1119,5.921189464667501e-17,0.09999999999999995,1.0
10-90%,1124,1134,0.8,0.5,1.0
10-90%,1111,1137,0.8000000000000003,0.5000000000000001,0.5
10-90%,1157,1158,1.8947806286936006e-16,0.9,1.0
10-90%,1137,1160,0.8000000000000003,0.5000000000000001,0.5
10-90%,1171,1186,0.8,0.5,1.0
10-90%,1163,1199,0.8,0.5,1.0
10-90%,1207,1219,0.3955679618587165,0.29778398092935826,1.0
10-90%,1221,1225,0.5065867779344236,0.35329338896721185,1.0
10-90%,1242,1250,0.017637640325339893,0.89118117983733,1.0
10-90%,1202,1254,0.8,0.5,1.0
10-90%,1263,1271,0.8,0.5,1.0
10-90%,1256,1278,0.8,0.5,1.0
10-90%,1302,1308,0.4420548324983169,0.6789725837508416,1.0
10-90%,1282,1312,0.8,0.5,1.0
10-90%,1314,1316,5.921189464667501e-17,0.09999999999999995,1.0
10-90%,1320,1324,1.8947806286936006e-16,0.5769696153972885,1.0
10-90%,1160,1317,0.8000000000000003,0.5000000000000001,0.5
10-90%,1317,1326,0.8000000000000003,0.5000000000000001,0.5
10-90%,1326,1330,0.8000000000000003,0.5000000000000001,0.5
10-90%,1352,1361,0.3242323697845465,0.7378838151077267,1.0
10-90%,1330,1351,0.8000000000000003,0.5000000000000001,0.5
