hour,price_eur_mwh,wind_mw,storage_p_mw_10_90,soc_10_90,storage_p_mw_20_80,soc_20_80,storage_p_mw_0_100,soc_0_100,storage_p_mw_20_100,soc_20_100,storage_p_mw_0_80,soc_0_80
16,206.38,129.17112230213903,0.0,0.9,0.0,0.8,0.0,1.0,0.0,1.0,0.0,0.8
17,225.0,84.82670337217183,0.0,0.9,-1.0845033452762633e-13,0.8,0.0,1.0,0.0,1.0,0.0,0.8
18,240.04,58.06693639222838,78.94541539069863,0.9000000000000002,21.709061543024077,0.8000000000000004,136.1817692383732,1.0,78.94541539069861,1.0,78.94541539069856,0.8
19,241.87,47.40002825627764,150.0,0.6241424022194036,150.0,0.7241424022194036,150.0,0.5241424022194038,150.0,0.7241424022194036,150.0,0.5241424022194038
20,239.0,43.71733052893865,0.0,0.09999999999999992,0.0,0.19999999999999984,0.0,0.0,0.0,0.19999999999999984,0.0,0.0
21,224.15,49.60780358108155,0.0,0.09999999999999992,0.0,0.19999999999999984,0.0,0.0,0.0,0.19999999999999984,0.0,0.0
22,214.91,58.3477489614334,0.0,0.09999999999999998,0.0,0.19999999999999996,0.0,0.0,0.0,0.19999999999999996,0.0,0.0
23,196.35,52.04677378812179,0.0,0.09999999999999998,0.0,0.19999999999999996,-52.04677378812179,0.0,0.0,0.19999999999999996,0.0,0.0
24,185.43,39.893408386588916,-31.070893898895363,0.09999999999999998,0.0,0.19999999999999996,-39.893408386588916,0.1654981978426009,-31.070893898895353,0.19999999999999996,-31.070893898895473,0.0
25,174.15,28.253520372760338,-28.253520372760338,0.19879914875337387,0.0,0.19999999999999996,-28.253520372760338,0.2923511555428561,-28.253520372760338,0.2987991487533738,-28.253520372760338,0.09879914875337424
26,170.17,25.833138690233685,-25.833138690233685,0.28863962039214025,-25.833138690233685,0.19999999999999996,-25.833138690233685,0.38219162718162253,-25.833138690233685,0.38863962039214023,-25.833138690233685,0.18863962039214063
27,170.25,21.097967437974976,-21.097967437974976,0.3707837685627108,-17.525293443302225,0.2821441481705705,-21.097967437974976,0.46433577535219306,-21.097967437974976,0.4707837685627107,-21.097967437974976,0.27078376856271114
28,162.92,16.08952477415432,-16.08952477415432,0.43787103132641375,-16.08952477415432,0.3378710313264137,-16.08952477415432,0.5314230381158961,-16.08952477415432,0.5378710313264137,-16.08952477415432,0.3378710313264141
29,158.57,16.18770884645691,-16.18770884645691,0.4890324609494373,-16.18770884645691,0.3890324609494373,-16.18770884645691,0.5825844677389196,-16.18770884645691,0.5890324609494373,-16.18770884645691,0.38903246094943766
30,154.98,17.940252016867618,-17.940252016867618,0.5405060960338229,-17.940252016867618,0.4405060960338229,-17.940252016867618,0.6340581028233052,-17.940252016867618,0.6405060960338229,-17.940252016867618,0.4405060960338233
31,110.6,16.85472878660696,-16.85472878660696,0.5975524633979281,-16.85472878660696,0.4975524633979281,-16.85472878660696,0.6911044701874104,-16.85472878660696,0.6975524633979281,-16.85472878660696,0.49755246339792847
32,95.98,17.13575837046362,-17.13575837046362,0.6511470867777517,-17.13575837046362,0.5511470867777516,-17.13575837046362,0.744699093567234,-17.13575837046362,0.7511470867777517,-17.13575837046362,0.551147086777752
33,90.0,16.775630625585624,-16.775630625585624,0.7056353273077576,-16.775630625585624,0.6056353273077576,-16.775630625585624,0.7991873340972401,-16.775630625585624,0.8056353273077577,-16.775630625585624,0.605635327307758
34,75.0,3.1043815303668816,-3.1043815303668816,0.7589784345579746,-3.1043815303668816,0.6589784345579747,-3.1043815303668816,0.852530441347457,-3.1043815303668816,0.8589784345579746,-3.1043815303668816,0.658978434557975
35,45.35,0.0,0.0,0.7688497389885449,0.0,0.6688497389885448,0.0,0.8624017457780273,0.0,0.8688497389885449,0.0,0.6688497389885453
36,20.15,4.556365239272184,-4.556365239272184,0.7688497389885449,-4.556365239272184,0.6688497389885448,-4.556365239272184,0.8624017457780273,-4.556365239272184,0.8688497389885449,-4.556365239272184,0.6688497389885453
37,39.58,6.631739273247141,-6.631739273247141,0.7833380574937797,-6.631739273247141,0.6833380574937797,-6.631739273247141,0.8768900642832621,-6.631739273247141,0.8833380574937797,-6.631739273247141,0.6833380574937801
38,76.21,15.195123488123688,-15.195123488123688,0.8044256450309516,-15.195123488123688,0.7044256450309516,-15.195123488123688,0.8979776518204341,-15.195123488123688,0.9044256450309517,-15.195123488123688,0.7044256450309521
