cycle_idx,dod,sigma_bar,sg0_charge,sg1_discharge,sg2_boundary,eff_ratio,expected_A,pass_A,pass_B,c_ratio,pass_C
112,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
113,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
114,0.181494,0.809253,-1.94294e-05,2.15142e-05,0,1.1073,1.1073,True,True,0,False
115,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
116,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
117,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
118,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
119,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
120,0.314238,0.257119,-1.20681e-05,1.33631e-05,0,1.1073,1.1073,True,True,0,False
121,0.120334,0.160167,-9.19233e-06,1.01787e-05,0,1.1073,1.1073,True,True,0,False
122,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
123,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
124,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
125,0.6833,0.44165,-1.67962e-05,1.85986e-05,0,1.1073,1.1073,True,True,0,False
126,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
128,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
129,0.235451,0.782274,-1.97904e-05,2.1914e-05,0,1.1073,1.1073,True,True,0,False
130,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
132,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
133,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
134,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
136,0.201774,0.799113,-1.95926e-05,2.16949e-05,0,1.1073,1.1073,True,True,0,False
137,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
138,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
139,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
140,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
141,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
142,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
143,0.321838,0.260919,-1.21677e-05,1.34733e-05,0,1.1073,1.1073,True,True,0,False
144,0.748677,0.525662,-1.86313e-05,2.06305e-05,0,1.1073,1.1073,True,True,0,False
145,0.350762,0.724619,-2.00133e-05,2.21608e-05,0,1.1073,1.1073,True,True,0,False
146,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
147,0.241709,0.779145,-1.98187e-05,2.19453e-05,0,1.1073,1.1073,True,True,0,False
148,0.0659954,0.867002,-1.72229e-05,1.9071e-05,0,1.1073,1.1073,True,True,0,False
149,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
150,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
