cycle_idx,dod,sigma_bar,count,s_sigma,phi_prime,expected_sg,measured_sg,ratio,note
217,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
218,3.78956e-16,0.9,1,,,,,,skip_zero_dod
219,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
220,0.334449,0.732775,1,1.2739,3.14198e-05,2.00129e-05,2.00129e-05,1,
221,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
222,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
223,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
224,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
225,0.8,0.5,1,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
226,0.569861,0.384931,1,0.887211,3.45558e-05,1.53292e-05,1.53292e-05,1,
227,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
228,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
229,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
230,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
231,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
232,0.167452,0.816274,1,1.38947,2.77693e-05,1.92924e-05,1.92924e-05,1,
233,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
234,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
235,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
236,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
237,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
238,0.8,0.5,1,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
239,0.356959,0.27848,1,0.794231,3.17873e-05,1.26232e-05,1.26232e-05,1,
240,0.8,0.5,1,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
241,9.4739e-17,0.490229,1,,,,,,skip_zero_dod
242,0.8,0.5,1,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
243,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
244,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
245,0.8,0.5,1,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
246,0.0687639,0.134382,1,0.683695,2.36897e-05,8.09826e-06,8.09826e-06,1,
247,0.725989,0.537005,1,1.03924,3.60824e-05,1.87491e-05,1.87491e-05,1,
248,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
249,3.78956e-16,0.9,1,,,,,,skip_zero_dod
250,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
251,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
252,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
253,0.569861,0.384931,1,0.887211,3.45558e-05,1.53292e-05,1.53292e-05,1,
