cycle_idx,dod,sigma_bar,measured,expected,ratio,pass
230,0.8000000000000004,0.5000000000000002,3.3058660359585454,3.456988014095166e-13,9562850731560.389,False
231,0.8000000000000004,0.5000000000000002,1.7758842254729361,3.456988014095166e-13,5137085284161.036,False
232,0.1674516154698326,0.8162741922650841,3.5517684509458722,3.6332183906569095e-13,9775818761898.564,False
233,0.8000000000000004,0.5000000000000002,2.829847479467586,3.456988014095166e-13,8185875877872.466,False
234,0.8000000000000004,0.5000000000000002,0.5327652676418808,3.456988014095166e-13,1541125585248.3105,False
235,0.8000000000000004,0.5000000000000002,2.2417418314063116,3.456988014095166e-13,6484667642080.519,False
236,0.8000000000000004,0.5000000000000002,0.7179199183426307,3.456988014095166e-13,2076720877872.466,False
237,0.8000000000000004,0.5000000000000002,0.7472472771354371,3.456988014095166e-13,2161555880693.506,False
238,0.8,0.5,2.5503329159075614,3.456988014095165e-13,7377326463120.78,False
239,0.35695908030823564,0.2784795401541178,3.313972708980106,2.377252726959123e-13,13940346650560.766,False
240,0.8,0.5,1.7002219439383743,3.456988014095165e-13,4918217642080.5205,False
242,0.8,0.5,2.266962591917832,3.456988014095165e-13,6557623522774.025,False
243,0.8000000000000004,0.5000000000000002,1.8287289466968057,3.456988014095166e-13,5289948762450.246,False
244,0.8000000000000004,0.5000000000000002,2.2417418314063116,3.456988014095166e-13,6484667642080.519,False
245,0.8,0.5,0.6800887775753497,3.456988014095165e-13,1967287056832.208,False
246,0.06876386874408598,0.13438193437204296,2.317404112940874,1.5250963525815017e-13,15195132484700.05,False
247,0.7259890651919181,0.537005467404041,2.6518882202647815,3.530898593329271e-13,7510519348459.47,False
248,0.8000000000000004,0.5000000000000002,1.163428079985592,3.456988014095166e-13,3365438570344.9087,False
250,0.8000000000000004,0.5000000000000002,1.2576798351185883,3.456988014095166e-13,3638079825532.094,False
251,0.8000000000000004,0.5000000000000002,2.0511997666932307,3.456988014095166e-13,5933488222492.761,False
252,0.8000000000000004,0.5000000000000002,2.9385475875187073,3.456988014095166e-13,8500311761387.013,False
253,0.5698610367648241,0.38493051838241205,2.2165210708947907,2.886847567748864e-13,7677998297025.474,False
254,0.8000000000000004,0.5000000000000002,1.6107365784679333,3.456988014095166e-13,4659364081971.017,False
256,0.8000000000000004,0.5000000000000002,2.2417418314063116,3.456988014095166e-13,6484667642080.519,False
257,0.8000000000000004,0.5000000000000002,2.317404112940874,3.456988014095166e-13,6703535284161.037,False
261,0.8000000000000004,0.5000000000000002,1.6336708573764633,3.456988014095166e-13,4725705876663.449,False
262,0.8000000000000004,0.5000000000000002,1.3319131691047021,3.456988014095166e-13,3852813963120.777,False
263,0.8000000000000004,0.5000000000000002,2.783261718874249,3.456988014095166e-13,8051117642080.519,False
264,0.8,0.5,2.9385475875187073,3.456988014095165e-13,8500311761387.015,False
265,0.8,0.5,2.9385475875187073,3.456988014095165e-13,8500311761387.015,False
267,0.3973068360680783,0.29865341803403916,2.2165210708947907,2.4745153512088785e-13,8957394706854.215,False
268,0.6218070464435682,0.4109035232217841,2.07596871509994,3.0124430022542156e-13,6891312843252.104,False
269,0.6014347563620943,0.4708469799470441,3.6122982761735214,3.187208544368268e-13,11333736797852.084,False
270,0.7484259871532138,0.525787006423393,2.8716796733705228,3.5089580400547747e-13,8183852985958.464,False
271,0.8,0.5,3.0518429228474986,3.456988014095165e-13,8828040219995.645,False
272,0.16323186414020155,0.2597991540443261,3.5517684509458722,2.0275502250162823e-13,17517536222400.357,False
273,0.8000000000000004,0.5000000000000002,1.9845933524769528,3.456988014095166e-13,5740816411237.692,False
274,0.5177257386380107,0.641137130680995,2.6638263382094043,3.704286675180767e-13,7191199201879.836,False
275,0.8000000000000004,0.5000000000000002,2.749754280231612,3.456988014095166e-13,7954190957619.893,False
276,0.8000000000000004,0.5000000000000002,1.3319131691047021,3.456988014095166e-13,3852813963120.777,False
277,0.8000000000000004,0.5000000000000002,2.783261718874249,3.456988014095166e-13,8051117642080.519,False
279,0.8,0.5,1.905949333605874,3.456988014095165e-13,5513323522774.025,False
280,0.8,0.5,1.7002219439383743,3.456988014095165e-13,4918217642080.5205,False
281,0.3995544096072953,0.29977720480364767,3.4761061694113105,2.479905344279899e-13,14017092133896.275,False
282,0.5287443156374728,0.36437215781873644,2.6900901976875735,2.788251879372018e-13,9647945429856.385,False
283,0.8,0.5,1.921492998348267,3.456988014095165e-13,5558286550354.731,False
284,0.5,0.35,3.4761061694113105,2.719610294271e-13,12781633371273.48,False
285,0.8000000000000004,0.5000000000000002,1.3974310407388313,3.456988014095166e-13,4042336956451.947,False
286,0.8000000000000004,0.5000000000000002,1.6813063735547336,3.456988014095166e-13,4863500731560.389,False
287,0.8000000000000004,0.5000000000000002,2.1310610705675233,3.456988014095166e-13,6164502340993.242,False
288,0.8000000000000004,0.5000000000000002,1.6813063735547336,3.456988014095166e-13,4863500731560.389,False
289,0.8000000000000004,0.5000000000000002,1.7758842254729361,3.456988014095166e-13,5137085284161.036,False
290,0.33923915564403395,0.7303804221779835,2.317404112940874,3.7690858449727536e-13,6148451397125.518,False
291,0.13835761718721065,0.3993177718287816,2.7454305781069674,2.2759818037266865e-13,12062620947195.652,False
292,0.8000000000000004,0.5000000000000002,3.1320607274879797,3.456988014095166e-13,9060085585248.31,False
293,0.10946959578137336,0.15473479789068667,2.9385475875187073,1.6925474047360078e-13,17361685582904.203,False
295,0.8000000000000004,0.5000000000000002,1.8780393394295665,3.456988014095166e-13,5432588518595.502,False
296,0.8000000000000004,0.5000000000000002,2.9385475875187073,3.456988014095166e-13,8500311761387.013,False
297,0.8000000000000004,0.5000000000000002,1.3319131691047021,3.456988014095166e-13,3852813963120.777,False
298,0.8000000000000004,0.5000000000000002,3.339914062649099,3.456988014095166e-13,9661341170496.623,False
299,0.8000000000000004,0.5000000000000002,1.7947997958565767,3.456988014095166e-13,5191802194681.165,False
300,0.8000000000000004,0.5000000000000002,2.3856529018922137,3.456988014095166e-13,6900957978926.16,False
301,0.8000000000000004,0.5000000000000002,1.5221864789768025,3.456988014095166e-13,4403215957852.316,False
302,0.8000000000000004,0.5000000000000002,2.8498128054361596,3.456988014095166e-13,8243629407497.587,False
303,0.8000000000000004,0.5000000000000002,1.7758842254729361,3.456988014095166e-13,5137085284161.036,False
304,0.8000000000000004,0.5000000000000002,1.7235374410519635,3.456988014095166e-13,4985662183451.576,False
305,0.8000000000000004,0.5000000000000002,1.3319131691047021,3.456988014095166e-13,3852813963120.777,False
306,0.27631435849221997,0.7618428207538903,2.317404112940874,3.754388261198315e-13,6172521198436.763,False
307,0.8000000000000004,0.5000000000000002,2.9443120628763095,3.456988014095166e-13,8516986610516.077,False
308,0.8000000000000004,0.5000000000000002,2.1310610705675233,3.456988014095166e-13,6164502340993.242,False
309,0.8000000000000004,0.5000000000000002,2.6446928287668365,3.456988014095166e-13,7650280585248.312,False
310,0.8000000000000004,0.5000000000000002,1.7758842254729361,3.456988014095166e-13,5137085284161.036,False
311,0.14080749554235278,0.8295962522288239,2.6638263382094043,3.5716749528064214e-13,7458199229793.628,False
312,0.8000000000000004,0.5000000000000002,2.465767979733098,3.456988014095166e-13,7132706187234.176,False
313,0.8000000000000004,0.5000000000000002,2.1310610705675233,3.456988014095166e-13,6164502340993.242,False
314,0.28102445964122846,0.4706511930557905,1.8135172398230106,2.7818151554896224e-13,6519186712475.21,False
315,0.8000000000000004,0.5000000000000002,3.2995608458306656,3.456988014095166e-13,9544611761387.014,False
316,0.26252988542331307,0.23126494271165654,2.4935862047566397,2.142531970636613e-13,11638501730341.59,False
317,0.8000000000000004,0.5000000000000002,1.8085259214319616,3.456988014095166e-13,5231507642080.519,False
318,0.46657179989018277,0.43657513681973265,2.9385475875187073,2.939305239098201e-13,9997422344677.186,False
319,0.8000000000000004,0.5000000000000002,3.3058660359585454,3.456988014095166e-13,9562850731560.389,False
320,0.8000000000000004,0.5000000000000002,2.1824843317944698,3.456988014095166e-13,6313253973967.608,False
321,0.8000000000000004,0.5000000000000002,2.6446928287668365,3.456988014095166e-13,7650280585248.312,False
322,0.8000000000000004,0.5000000000000002,0.5608055448861904,3.456988014095166e-13,1622237458156.1167,False
323,0.8000000000000004,0.5000000000000002,2.2417418314063116,3.456988014095166e-13,6484667642080.519,False
325,0.8000000000000004,0.5000000000000002,1.0655305352837616,3.456988014095166e-13,3082251170496.621,False
326,0.8000000000000004,0.5000000000000002,2.7291539956306754,3.456988014095166e-13,7894600688527.425,False
327,0.8000000000000004,0.5000000000000002,1.7758842254729361,3.456988014095166e-13,5137085284161.036,False
328,0.8000000000000004,0.5000000000000002,2.8498128054361596,3.456988014095166e-13,8243629407497.587,False
329,0.8000000000000004,0.5000000000000002,1.7758842254729361,3.456988014095166e-13,5137085284161.036,False
330,0.8000000000000004,0.5000000000000002,2.8997261203575926,3.456988014095166e-13,8388013231560.389,False
331,0.8000000000000004,0.5000000000000002,1.1839228169819576,3.456988014095166e-13,3424723522774.0244,False
332,0.8000000000000004,0.5000000000000002,2.783261718874249,3.456988014095166e-13,8051117642080.519,False
333,0.8000000000000004,0.5000000000000002,1.7758842254729361,3.456988014095166e-13,5137085284161.036,False
334,0.4968078051772685,0.6515960974113657,1.1208709157031558,3.7173278375189375e-13,3015259790622.2354,False
335,0.8000000000000004,0.5000000000000002,2.2417418314063116,3.456988014095166e-13,6484667642080.519,False
336,0.8,0.5,1.4573330948043208,3.456988014095165e-13,4215615121783.3027,False
337,0.8000000000000004,0.5000000000000002,1.4192614702172102,3.456988014095166e-13,4105485655230.68,False
338,0.8000000000000004,0.5000000000000002,2.3856529018922137,3.456988014095166e-13,6900957978926.16,False
339,0.2547130411773175,0.7726434794113413,3.5517684509458722,3.742019826100319e-13,9491581060507.865,False
340,0.4051725484703786,0.6974137257648106,0.9931731912603744,3.759384253086387e-13,2641850697876.9116,False
341,0.8,0.5,1.7153544002452867,3.456988014095165e-13,4961991170496.624,False
342,0.02431202317340194,0.887843988413299,3.4761061694113105,2.7733073465882424e-13,12534154116339.324,False
343,0.8000000000000004,0.5000000000000002,1.5207964491174482,3.456988014095166e-13,4399195030230.68,False
344,0.8000000000000004,0.5000000000000002,1.3139879251148952,3.456988014095166e-13,3800961761387.012,False
345,0.8000000000000004,0.5000000000000002,1.5221864789768025,3.456988014095166e-13,4403215957852.316,False
346,0.8000000000000004,0.5000000000000002,1.6813063735547336,3.456988014095166e-13,4863500731560.389,False
347,0.8000000000000004,0.5000000000000002,1.3319131691047021,3.456988014095166e-13,3852813963120.777,False
348,0.5403463699082078,0.6298268150458964,2.6638263382094043,3.6890268902939173e-13,7220945841349.419,False
349,0.8000000000000004,0.5000000000000002,3.0720049254285504,3.456988014095166e-13,8886362674394.805,False
350,0.8000000000000004,0.5000000000000002,1.7758842254729361,3.456988014095166e-13,5137085284161.036,False
351,0.8000000000000004,0.5000000000000002,3.3058660359585454,3.456988014095166e-13,9562850731560.389,False
352,0.8000000000000004,0.5000000000000002,2.1310610705675233,3.456988014095166e-13,6164502340993.242,False
353,0.8000000000000004,0.5000000000000002,2.2165210708947907,3.456988014095166e-13,6411711761387.012,False
354,0.8,0.5,2.3856529018922137,3.456988014095165e-13,6900957978926.162,False
355,0.2000000000000001,0.5,1.7380530847056552,2.699062468294227e-13,6439469649637.574,False
356,0.8000000000000004,0.5000000000000002,1.7254427044498948,3.456988014095166e-13,4991173522774.024,False
357,0.8000000000000004,0.5000000000000002,2.5503329159075614,3.456988014095166e-13,7377326463120.778,False
358,0.8,0.5,2.2165210708947907,3.456988014095165e-13,6411711761387.014,False
