cycle_idx,dod,sigma_bar,measured_discharge,expected_discharge,ratio_discharge,measured_charge,expected_charge,ratio_charge,pass
710,0.14910604582016476,0.8254469770899177,3.7030930140149962,3.848615293602857,0.9621884058326778,3.2491193248076238,3.3768015755665193,0.9621884058326777,False
711,0.27052748093768153,0.5613237780473179,3.7030930140149962,3.2523494124148904,1.1385901526691826,3.249119324807624,2.853633783140276,1.1385901526691826,False
712,0.5248596853443495,0.5925688059073506,3.7030930140149962,3.781775468148779,0.9791943083886208,3.249119324807624,3.318155852186714,0.9791943083886209,False
713,0.5431345550134897,0.39829375925807925,3.7030930140149962,3.108865580847662,1.1911396352509112,3.249119324807624,2.727740080719591,1.1911396352509112,False
714,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,True
715,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.2491193248076238,3.249119324807624,0.9999999999999999,True
716,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,True
717,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,True
718,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,True
719,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,True
720,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,True
722,0.5913606395478894,0.39568031977394474,3.7030930140149962,3.1478735510307314,1.1763792140896083,3.249119324807624,2.76196594252313,1.1763792140896083,False
723,0.7353010906608957,0.46765054533044786,3.7030930140149962,3.5270766090649466,1.049904332811391,3.249119324807624,3.0946813183514204,1.049904332811391,False
724,0.8,0.5,3.7030930140149962,3.703093014014995,1.0000000000000004,3.249119324807624,3.249119324807623,1.0000000000000004,True
725,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,True
726,0.4693540502311189,0.5648159883507358,3.7030930140149962,3.601591706067305,1.028182347204071,3.249119324807624,3.160061377870308,1.028182347204071,False
727,0.5389730403321097,0.5275122872875861,3.7030930140149962,3.5511518099474055,1.0427864569579866,3.249119324807624,3.115805065483824,1.0427864569579866,False
728,0.6703680232985292,0.5648159883507358,3.7030930140149962,3.8382475235585782,0.9647874430416422,3.2491193248076238,3.3677048226957336,0.9647874430416422,False
729,0.35343354815024025,0.7232832259248799,3.7030930140149962,4.0371542416409,0.9172532908997489,3.2491193248076238,3.5422269476084507,0.9172532908997488,False
730,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,True
731,0.8,0.5,3.7030930140149962,3.703093014014995,1.0000000000000004,3.249119324807624,3.249119324807623,1.0000000000000004,True
733,0.8,0.5,3.7030930140149962,3.703093014014995,1.0000000000000004,3.249119324807624,3.249119324807623,1.0000000000000004,True
734,0.8,0.5,3.7030930140149962,3.703093014014995,1.0000000000000004,3.249119324807624,3.249119324807623,1.0000000000000004,True
735,0.5549142294057838,0.37745711470289195,3.7030930140149962,3.053896690199054,1.2125796612241089,3.249119324807624,2.679509997328845,1.2125796612241089,False
736,0.8,0.5,3.7030930140149962,3.703093014014995,1.0000000000000004,3.249119324807624,3.249119324807623,1.0000000000000004,True
737,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.2491193248076238,3.249119324807624,0.9999999999999999,True
738,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,True
740,0.8,0.5,3.7030930140149962,3.703093014014995,1.0000000000000004,3.249119324807624,3.249119324807623,1.0000000000000004,True
741,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,True
742,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,True
744,0.8,0.5,3.7030930140149962,3.703093014014995,1.0000000000000004,3.249119324807624,3.249119324807623,1.0000000000000004,True
745,0.2,0.5,3.7030930140149962,2.8912103050338422,1.2808106721145802,3.249119324807624,2.5367678420756947,1.2808106721145804,False
746,0.8,0.5,3.7030930140149962,3.703093014014995,1.0000000000000004,3.249119324807624,3.249119324807623,1.0000000000000004,True
747,0.8,0.5,3.7030930140149962,3.703093014014995,1.0000000000000004,3.249119324807624,3.249119324807623,1.0000000000000004,True
748,0.6538249331682899,0.42691246658414495,3.7030930140149962,3.3106193667736075,1.1185499158194914,3.249119324807624,2.9047602425746,1.1185499158194914,False
749,0.2821187800828764,0.2410593900414382,3.7030930140149962,2.348537389616596,1.5767656203334,3.249119324807624,2.0606228870722156,1.5767656203334002,False
750,0.8,0.5,3.7030930140149962,3.703093014014995,1.0000000000000004,3.249119324807624,3.249119324807623,1.0000000000000004,True
751,0.5,0.35,3.7030930140149962,2.913220942767483,1.271133596374999,3.249119324807624,2.556080127276485,1.2711335963749992,False
752,0.021559032812970523,0.8892204835935147,3.7030930140149962,2.911848200578755,1.2717328510734092,3.249119324807624,2.5548756738219014,1.2717328510734092,False
753,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,True
755,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,True
756,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,True
759,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,True
761,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,True
762,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,True
764,0.8,0.5,3.7030930140149962,3.703093014014995,1.0000000000000004,3.249119324807624,3.249119324807623,1.0000000000000004,True
765,0.8,0.5,3.7030930140149962,3.703093014014995,1.0000000000000004,3.249119324807624,3.249119324807623,1.0000000000000004,True
766,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,True
767,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,True
768,0.8,0.5,3.7030930140149962,3.703093014014995,1.0000000000000004,3.249119324807624,3.249119324807623,1.0000000000000004,True
769,0.8,0.5,3.7030930140149962,3.703093014014995,1.0000000000000004,3.249119324807624,3.249119324807623,1.0000000000000004,True
771,0.8,0.5,3.7030930140149962,3.703093014014995,1.0000000000000004,3.249119324807624,3.249119324807623,1.0000000000000004,True
