t,subgrad_t,fd_partial_t,ratio,pass
2825,3.7030930140149962,8.293487865213e-08,2.2396110045912593e-08,False
2826,3.7030930140149962,0.0,0.0,False
2831,-3.249119324807624,-3.952558297673492e-08,1.2165014277853637e-08,False
2832,-3.249119324807624,0.0,-0.0,False
2833,-3.249119324807624,0.0,-0.0,False
2836,-3.249119324807624,5.340178695426023e-08,-1.6435772778958212e-08,False
2837,3.7030930140149962,8.293487865213e-08,2.2396110045912593e-08,False
2838,3.7030930140149962,0.0,0.0,False
2843,-3.249119324807624,-3.952558297673492e-08,1.2165014277853637e-08,False
2844,-3.249119324807624,0.0,-0.0,False
2845,-3.249119324807624,0.0,-0.0,False
2846,-3.249119324807624,0.0,-0.0,False
2848,-3.249119324807624,5.340178695426023e-08,-1.6435772778958212e-08,False
2849,3.7030930140149962,8.293487865213e-08,2.2396110045912593e-08,False
2850,3.7030930140149962,0.0,0.0,False
2854,-3.249119324807624,-3.952558297673492e-08,1.2165014277853637e-08,False
2855,-3.249119324807624,0.0,-0.0,False
2856,-3.249119324807624,0.0,-0.0,False
2857,-3.249119324807624,0.0,-0.0,False
2858,-3.249119324807624,0.0,-0.0,False
2859,-3.249119324807624,0.0,-0.0,False
2860,-3.249119324807624,0.0,-0.0,False
2870,-3.249119324807624,-1.8939047411077603e-08,5.828978722472422e-09,False
2871,-3.249119324807624,0.0,-0.0,False
2872,-3.249119324807624,8.293487865213e-08,-2.5525340980525688e-08,False
2874,3.7030930140149962,8.293487865213e-08,2.2396110045912593e-08,False
2875,3.7030930140149962,0.0,0.0,False
2881,-3.249119324807624,-3.952558297673492e-08,1.2165014277853637e-08,False
2882,-3.249119324807624,1.3433537312049215e-08,-4.134516454807211e-09,False
2884,-3.249119324807624,-1.0555811647515456e-08,3.2488224014796535e-09,False
2885,-3.249119324807624,-2.8214387345557035e-09,8.68370303612274e-10,False
2886,-3.249119324807624,0.0,-0.0,False
2887,-3.249119324807624,0.0,-0.0,False
2888,-3.249119324807624,0.0,-0.0,False
2889,-3.249119324807624,0.0,-0.0,False
2890,-3.249119324807624,0.0,-0.0,False
2891,-3.249119324807624,0.0,-0.0,False
2892,-3.249119324807624,0.0,-0.0,False
2893,-3.249119324807624,0.0,-0.0,False
2894,-3.249119324807624,0.0,-0.0,False
2895,-3.249119324807624,0.0,-0.0,False
2897,-3.249119324807624,5.340178695426023e-08,-1.6435772778958212e-08,False
2898,3.7030930140149962,8.293487865213e-08,2.2396110045912593e-08,False
2900,-3.249119324807624,-3.608030658616701e-08,1.1104641898094425e-08,False
2901,-3.249119324807624,-5.831405027779957e-08,1.794764810038248e-08,False
2902,-3.249119324807624,0.0,-0.0,False
2903,-3.249119324807624,0.0,-0.0,False
2904,-3.249119324807624,0.0,-0.0,False
2905,-3.249119324807624,0.0,-0.0,False
2906,-3.249119324807624,0.0,-0.0,False
2907,-3.249119324807624,0.0,-0.0,False
2908,-3.249119324807624,8.293487865213e-08,-2.5525340980525688e-08,False
2909,3.7030930140149962,8.293487865213e-08,2.2396110045912593e-08,False
2910,3.7030930140149962,0.0,0.0,False
2913,-3.249119324807624,-3.952558297673492e-08,1.2165014277853637e-08,False
2914,-3.249119324807624,1.3555729438258224e-08,-4.172124222941809e-09,False
2915,-3.249119324807624,-1.3508817603598289e-08,4.157685899823986e-09,False
2916,-3.249119324807624,0.0,-0.0,False
2917,-3.249119324807624,0.0,-0.0,False
2918,-3.249119324807624,0.0,-0.0,False
2919,-3.249119324807624,8.293487865213e-08,-2.5525340980525688e-08,False
2922,3.7030930140149962,8.293487865213e-08,2.2396110045912593e-08,False
2923,3.7030930140149962,0.0,0.0,False
2927,-3.249119324807624,-3.952558297673492e-08,1.2165014277853637e-08,False
2928,-3.249119324807624,0.0,-0.0,False
2932,-3.249119324807624,5.340178695426023e-08,-1.6435772778958212e-08,False
2933,3.7030930140149962,8.293487865213e-08,2.2396110045912593e-08,False
2935,3.7030930140149962,-3.3718790694477196e-08,-9.105574871293429e-09,False
2936,-3.249119324807624,-5.931740594978391e-08,1.825645660252752e-08,False
2937,-3.249119324807624,0.0,-0.0,False
2938,-3.249119324807624,0.0,-0.0,False
2939,-3.249119324807624,0.0,-0.0,False
2940,-3.249119324807624,0.0,-0.0,False
2941,-3.249119324807624,0.0,-0.0,False
2943,-3.249119324807624,-2.918750911882345e-08,8.983206278689566e-09,False
2944,-3.249119324807624,8.293487865213e-08,-2.5525340980525688e-08,False
2945,3.7030930140149962,8.293487865213e-08,2.2396110045912593e-08,False
2946,3.7030930140149962,0.0,0.0,False
2949,-3.249119324807624,-3.952558297673492e-08,1.2165014277853637e-08,False
2950,-3.249119324807624,0.0,-0.0,False
2951,-3.249119324807624,0.0,-0.0,False
2952,-3.249119324807624,0.0,-0.0,False
2953,-3.249119324807624,0.0,-0.0,False
2954,-3.249119324807624,0.0,-0.0,False
2955,-3.249119324807624,0.0,-0.0,False
2956,-3.249119324807624,8.293487865213e-08,-2.5525340980525688e-08,False
2957,3.7030930140149962,8.293487865213e-08,2.2396110045912593e-08,False
2958,-3.249119324807624,-4.3104692927856125e-08,1.3266577376442859e-08,False
2964,-3.249119324807624,-4.310469326439248e-08,1.3266577480020574e-08,False
2965,-3.249119324807624,0.0,-0.0,False
2966,-3.249119324807624,0.0,-0.0,False
2967,-3.249119324807624,0.0,-0.0,False
2968,3.7030930140149962,5.5486223711140314e-08,1.4983751016013668e-08,False
2970,3.7030930140149962,5.5486224161301057e-08,1.4983751137577113e-08,False
2973,-3.249119324807624,-3.952558297673492e-08,1.2165014277853637e-08,False
2976,-3.249119324807624,-1.3167191016336122e-08,4.052541535117592e-09,False
2977,-3.249119324807624,0.0,-0.0,False
2978,-3.249119324807624,0.0,-0.0,False
2979,-3.249119324807624,0.0,-0.0,False
2980,3.7030930140149962,4.2428133182996486e-08,1.145748514077823e-08,False
2981,3.7030930140149962,4.2428133182996486e-08,1.145748514077823e-08,False
2986,-3.249119324807624,-3.952558297673492e-08,1.2165014277853637e-08,False
2987,-3.249119324807624,0.0,-0.0,False
2988,-3.249119324807624,0.0,-0.0,False
2989,-3.249119324807624,0.0,-0.0,False
2990,-3.249119324807624,0.0,-0.0,False
2991,-3.249119324807624,0.0,-0.0,False
2992,-3.249119324807624,8.293487865213e-08,-2.5525340980525688e-08,False
2993,3.7030930140149962,8.293487865213e-08,2.2396110045912593e-08,False
2994,3.7030930140149962,0.0,0.0,False
2997,-3.249119324807624,-2.6908370138849225e-08,8.281742665896837e-09,False
2998,-3.249119324807624,-4.126768513371126e-08,1.2701191002320194e-08,False
2999,-3.249119324807624,0.0,-0.0,False
3000,-3.249119324807624,0.0,-0.0,False
3001,-3.249119324807624,0.0,-0.0,False
3002,-3.249119324807624,0.0,-0.0,False
3003,-3.249119324807624,0.0,-0.0,False
3005,3.7030930140149962,6.286866868158297e-08,1.6977339873356034e-08,False
3009,-3.249119324807624,-3.952558297673492e-08,1.2165014277853637e-08,False
3010,-3.249119324807624,0.0,-0.0,False
3011,-3.249119324807624,0.0,-0.0,False
3012,-3.249119324807624,0.0,-0.0,False
3013,-3.249119324807624,0.0,-0.0,False
3014,-3.249119324807624,0.0,-0.0,False
3016,-3.249119324807624,5.340178695426023e-08,-1.6435772778958212e-08,False
3018,3.7030930140149962,8.293487865213e-08,2.2396110045912593e-08,False
3019,3.7030930140149962,0.0,0.0,False
3036,-3.249119324807624,-3.952558297673492e-08,1.2165014277853637e-08,False
3037,-3.249119324807624,0.0,-0.0,False
3040,-3.249119324807624,5.340178695426023e-08,-1.6435772778958212e-08,False
3041,3.7030930140149962,8.293487865213e-08,2.2396110045912593e-08,False
3042,3.7030930140149962,0.0,0.0,False
3050,-3.249119324807624,-3.952558297673492e-08,1.2165014277853637e-08,False
3051,3.7030930140149962,1.924027338666423e-08,5.195730518743679e-09,False
3054,-3.249119324807624,-1.9173688857107574e-08,5.901195659609338e-09,False
3055,-3.249119324807624,0.0,-0.0,False
3056,-3.249119324807624,0.0,-0.0,False
3057,-3.249119324807624,0.0,-0.0,False
3058,-3.249119324807624,0.0,-0.0,False
3059,-3.249119324807624,0.0,-0.0,False
3060,-3.249119324807624,0.0,-0.0,False
3061,-3.249119324807624,0.0,-0.0,False
3062,-3.249119324807624,0.0,-0.0,False
3063,-3.249119324807624,0.0,-0.0,False
3065,-3.249119324807624,5.340178695426023e-08,-1.6435772778958212e-08,False
3066,3.7030930140149962,8.293487865213e-08,2.2396110045912593e-08,False
3067,3.7030930140149962,0.0,0.0,False
3071,-3.249119324807624,-3.952558297673492e-08,1.2165014277853637e-08,False
3072,-3.249119324807624,0.0,-0.0,False
3073,-3.249119324807624,0.0,-0.0,False
3074,-3.249119324807624,0.0,-0.0,False
3076,-3.249119324807624,5.340178695426023e-08,-1.6435772778958212e-08,False
3077,3.7030930140149962,8.293487865213e-08,2.2396110045912593e-08,False
3078,3.7030930140149962,0.0,0.0,False
3082,-3.249119324807624,-3.952558297673492e-08,1.2165014277853637e-08,False
3083,-3.249119324807624,0.0,-0.0,False
3084,-3.249119324807624,0.0,-0.0,False
3085,-3.249119324807624,0.0,-0.0,False
3086,-3.249119324807624,0.0,-0.0,False
3088,-3.249119324807624,5.340178695426023e-08,-1.6435772778958212e-08,False
3089,3.7030930140149962,8.293487865213e-08,2.2396110045912593e-08,False
3090,3.7030930140149962,0.0,0.0,False
3097,-3.249119324807624,-3.952558297673492e-08,1.2165014277853637e-08,False
3098,-3.249119324807624,0.0,-0.0,False
3099,-3.249119324807624,0.0,-0.0,False
3100,-3.249119324807624,8.293487865213e-08,-2.5525340980525688e-08,False
3102,3.7030930140149962,8.293487865213e-08,2.2396110045912593e-08,False
3103,3.7030930140149962,0.0,0.0,False
3107,-3.249119324807624,-3.952558297673492e-08,1.2165014277853637e-08,False
3108,-3.249119324807624,0.0,-0.0,False
3111,-3.249119324807624,5.340178695426023e-08,-1.6435772778958212e-08,False
3112,3.7030930140149962,8.293487865213e-08,2.2396110045912593e-08,False
3113,3.7030930140149962,0.0,0.0,False
3114,-3.249119324807624,-5.131150829056075e-08,1.5792435783686963e-08,False
3121,-3.249119324807624,-5.1311508653117954e-08,1.5792435895273263e-08,False
3122,-3.249119324807624,0.0,-0.0,False
3125,3.7030930140149962,8.293487865213e-08,2.2396110045912593e-08,False
3126,3.7030930140149962,0.0,0.0,False
3131,-3.249119324807624,-3.952558297673492e-08,1.2165014277853637e-08,False
3132,-3.249119324807624,0.0,-0.0,False
3137,3.7030930140149962,8.293487865213e-08,2.2396110045912593e-08,False
3138,3.7030930140149962,0.0,0.0,False
3139,3.7030930140149962,0.0,0.0,False
3143,-3.249119324807624,-3.952558297673492e-08,1.2165014277853637e-08,False
3144,-3.249119324807624,0.0,-0.0,False
3145,-3.249119324807624,0.0,-0.0,False
3147,-3.249119324807624,5.340178695426023e-08,-1.6435772778958212e-08,False
3149,3.7030930140149962,8.293487865213e-08,2.2396110045912593e-08,False
3150,3.7030930140149962,0.0,0.0,False
3155,-3.249119324807624,-3.952558297673492e-08,1.2165014277853637e-08,False
3156,-3.249119324807624,0.0,-0.0,False
3159,3.7030930140149962,8.293487865213e-08,2.2396110045912593e-08,False
3160,3.7030930140149962,0.0,0.0,False
3161,-3.249119324807624,-1.1757930328936544e-07,3.61880532954348e-08,False
3162,3.7030930140149962,1.564137433445606e-07,4.2238675278364796e-08,False
3168,-3.249119324807624,-3.5143883143039234e-08,1.0816433510062009e-08,False
3169,-3.249119324807624,-5.4589051066804284e-08,1.6801183831571474e-08,False
3170,-3.249119324807624,0.0,-0.0,False
3174,3.7030930140149962,8.293487865213e-08,2.2396110045912593e-08,False
3175,3.7030930140149962,0.0,0.0,False
3180,-3.249119324807624,-3.952558297673492e-08,1.2165014277853637e-08,False
3181,-3.249119324807624,0.0,-0.0,False
3187,3.7030930140149962,8.293487865213e-08,2.2396110045912593e-08,False
3188,-3.249119324807624,-4.9054933021035196e-08,1.509791673284873e-08,False
3193,-3.249119324807624,-4.9054933613443263e-08,1.5097916915177542e-08,False
3194,-3.249119324807624,8.293487865213e-08,-2.5525340980525688e-08,False
3197,3.7030930140149962,8.293487865213e-08,2.2396110045912593e-08,False
3198,3.7030930140149962,0.0,0.0,False
3203,-3.249119324807624,-3.952558297673492e-08,1.2165014277853637e-08,False
3204,-3.249119324807624,0.0,-0.0,False
3209,-3.249119324807624,5.340178695426023e-08,-1.6435772778958212e-08,False
3210,3.7030930140149962,8.293487865213e-08,2.2396110045912593e-08,False
3211,3.7030930140149962,0.0,0.0,False
3217,-3.249119324807624,-3.952558297673492e-08,1.2165014277853637e-08,False
3218,-3.249119324807624,0.0,-0.0,False
3219,-3.249119324807624,0.0,-0.0,False
3220,-3.249119324807624,0.0,-0.0,False
3221,-3.249119324807624,0.0,-0.0,False
3222,-3.249119324807624,0.0,-0.0,False
3223,-3.249119324807624,0.0,-0.0,False
3224,-3.249119324807624,0.0,-0.0,False
3225,-3.249119324807624,0.0,-0.0,False
3226,-3.249119324807624,0.0,-0.0,False
3227,-3.249119324807624,0.0,-0.0,False
3228,-3.249119324807624,0.0,-0.0,False
3229,-3.249119324807624,0.0,-0.0,False
3230,-3.249119324807624,0.0,-0.0,False
3231,-3.249119324807624,0.0,-0.0,False
3233,-3.249119324807624,5.340178695426023e-08,-1.6435772778958212e-08,False
3234,3.7030930140149962,8.293487865213e-08,2.2396110045912593e-08,False
3236,3.7030930140149962,-3.2769450424886826e-08,-8.849210727590468e-09,False
3237,-3.249119324807624,-4.966445226513988e-08,1.5285511949635903e-08,False
3238,-3.249119324807624,0.0,-0.0,False
3239,-3.249119324807624,0.0,-0.0,False
3240,-3.249119324807624,0.0,-0.0,False
3241,-3.249119324807624,0.0,-0.0,False
3242,-3.249119324807624,0.0,-0.0,False
3243,-3.249119324807624,0.0,-0.0,False
3244,-3.249119324807624,8.293487865213e-08,-2.5525340980525688e-08,False
3245,3.7030930140149962,8.293487865213e-08,2.2396110045912593e-08,False
3246,3.7030930140149962,0.0,0.0,False
3250,-3.249119324807624,-3.952558297673492e-08,1.2165014277853637e-08,False
3251,-3.249119324807624,0.0,-0.0,False
3252,-3.249119324807624,0.0,-0.0,False
3253,-3.249119324807624,0.0,-0.0,False
3254,-3.249119324807624,0.0,-0.0,False
3255,-3.249119324807624,0.0,-0.0,False
3256,-3.249119324807624,8.293487865213e-08,-2.5525340980525688e-08,False
3257,3.7030930140149962,8.293487865213e-08,2.2396110045912593e-08,False
3258,3.7030930140149962,0.0,0.0,False
3261,-3.249119324807624,-3.952558297673492e-08,1.2165014277853637e-08,False
3262,-3.249119324807624,1.7297727040663236e-08,-5.323820183700828e-09,False
3264,-3.249119324807624,-1.7237865407651598e-08,5.3053962272291206e-09,False
3265,-3.249119324807624,0.0,-0.0,False
3268,-3.249119324807624,5.340178695426023e-08,-1.6435772778958212e-08,False
3269,3.7030930140149962,8.293487865213e-08,2.2396110045912593e-08,False
3270,3.7030930140149962,0.0,0.0,False
3275,-3.249119324807624,-3.952558297673492e-08,1.2165014277853637e-08,False
3276,-3.249119324807624,0.0,-0.0,False
3277,-3.249119324807624,0.0,-0.0,False
3278,-3.249119324807624,0.0,-0.0,False
3281,3.7030930140149962,8.293487865213e-08,2.2396110045912593e-08,False
3282,3.7030930140149962,0.0,0.0,False
