cycle_idx,dod,sigma_bar,measured_discharge,expected_discharge,ratio_discharge,measured_charge,expected_charge,ratio_charge,classification,pct_overwritten,n_discharge_timesteps,n_carry_dominant,n_carry_own
272,0.16323186414020155,0.2597991540443261,3.7030930140149962,2.171892712155535,1.7050073391239446,3.249119324807624,1.9056336299860532,1.7050073391239446,PASS_OVERWRITE,100.0,2,2,0
273,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.2491193248076238,3.249119324807624,0.9999999999999999,PASS_FORMULA,0.0,20,0,0
274,0.5177257386380107,0.641137130680995,3.7030930140149962,3.9679970115144045,0.9332398697048649,3.249119324807624,3.4815479174021475,0.9332398697048649,PASS_OVERWRITE,100.0,2,2,0
275,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.2491193248076238,3.249119324807624,0.9999999999999999,PASS_FORMULA,0.0,5,0,0
276,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,PASS_FORMULA,0.0,2,0,0
277,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,PASS_FORMULA,0.0,1,0,0
279,0.8,0.5,3.7030930140149962,3.703093014014995,1.0000000000000004,3.249119324807624,3.249119324807623,1.0000000000000004,PASS_FORMULA,0.0,2,0,0
280,0.8,0.5,3.7030930140149962,3.703093014014995,1.0000000000000004,3.249119324807624,3.249119324807623,1.0000000000000004,PASS_FORMULA,0.0,1,0,0
281,0.3995544096072953,0.29977720480364767,3.7030930140149962,2.656451257099598,1.3939999855514595,3.249119324807624,2.3307886359283487,1.3939999855514595,PASS_OVERWRITE,100.0,1,1,0
282,0.5287443156374728,0.36437215781873644,3.7030930140149962,2.9867491624842137,1.2398406469912482,3.249119324807624,2.6205942938653783,1.2398406469912484,PASS_OVERWRITE,100.0,1,1,0
