turbine_id,latitude,longitude,x_m,y_m,distance_from_center_km,name,power
46,52.9876321,5.2253242,-2479.2840799999576,-1031.7026279997276,2.6622856110073374,,generator
47,52.9733059,5.2538251,-552.623239999954,-2626.4952119996487,2.680011043588244,,generator
48,52.9936193,5.2219808,-2705.2979199999795,-365.2075239997433,2.70305903365213,,generator
49,53.0211551,5.26818,417.76800000003504,2700.077732000541,2.7285537215597575,,generator
50,52.9721414,5.2650675,207.36300000001506,-2756.127351999823,2.760678441081813,,generator
51,53.0119851,5.294874,2222.2824000000346,1679.273332000033,2.7662495037173254,,generator
52,52.9818843,5.2288903,-2238.2157199999865,-1671.547723999922,2.774772242135732,,generator
53,52.974642,5.2430441,-1281.4188399999941,-2477.7605599992958,2.781308447734029,,generator
54,52.9793545,5.291639,2003.596400000028,-1953.1650599996779,2.782507429889617,,generator
55,53.0196301,5.279747,1199.6972000000571,2530.3147320004423,2.792487295267022,,generator
56,52.9751976,5.2837123,1467.7514800000538,-2415.91116799947,2.817086673156676,,generator
57,52.9938206,5.3041452,2849.0155200000145,-342.79880799968595,2.8413162738546203,,generator
58,53.0224656,5.2568798,-346.1255199999638,2845.962592000021,2.8633303590040877,,generator
59,52.9836476,5.2994319,2530.396440000035,-1475.2571679998823,2.9066873862871456,,generator
60,52.9995925,5.2186525,-2930.2909999999615,299.72910000022097,2.9162883146302447,,generator
61,53.0146507,5.2299037,-2169.7098799999453,1976.0079240000628,2.9168206273345123,,generator
62,53.0192978,5.2379179,-1627.9499599999547,2493.3230960000274,2.9662771687735274,,generator
63,52.9711275,5.2758795,938.2542000000481,-2868.9946999994536,3.0126319925324454,,generator
64,53.010075,5.2224982,-2670.3216799999423,1466.641000000438,3.022036332690227,,generator
65,52.9761923,5.2323797,-2002.3322799999655,-2305.1811639995053,3.0386362217973706,,generator
66,53.0179668,5.290972,1958.5072000000298,2345.156176000772,3.0405498957424246,,generator
67,53.023575,5.2458032,-1094.9036799999633,2969.461000000495,3.1578651996556757,,generator
68,52.9880637,5.3069133,3036.1390800000104,-983.6569159998538,3.1625690526751025,,generator
69,53.0043108,5.3082093,3123.748680000008,824.9702560002652,3.2001424606895155,,generator
70,53.0101937,5.3047421,2889.365960000053,1479.8546840006138,3.2194303463390725,,generator
