Hour [h],Power wind farm [W]
2519,8157465.588474173
2520,3627637.239827521
2521,35498886.58429752
2522,36432503.54758623
2523,22608187.759813197
2524,23712380.137831222
2525,12190405.078221526
2526,12350054.24107601
2527,14739236.915720422
2528,7802388.581591138
2529,8019917.510155006
2530,352795.9388572226
2531,4456664.303802937
2532,970097.6214802766
2533,0.0
2534,0.0
2535,0.0
2536,0.0
2537,0.0
2538,7430756.010560662
2539,13210746.735830788
2540,7247871.0400623
2541,0.0
2542,0.0
2543,0.0
2544,6960085.855778172
2545,10507046.490492696
2546,23772033.509779554
2547,25771226.120953076
2548,17360368.50247605
2549,22716304.384204082
2550,23808040.790099707
2551,22110740.009262662
2552,24743375.28521297
2553,5998322.237441028
2554,5188312.940453831
2555,0.0
2556,0.0
2557,0.0
2558,0.0
2559,0.0
2560,0.0
2561,0.0
2562,0.0
2563,0.0
2564,0.0
2565,0.0
2566,0.0
2567,17889027.81409955
2568,34713750.7369509
2569,45819153.13847546
2570,48158876.81796977
2571,66034751.628292
2572,57906648.27974042
2573,54982835.124862306
2574,84688688.19035837
2575,78682262.12840533
2576,86806467.34410375
2577,29666944.694072675
2578,25432260.025153838
2579,19167641.58407362
2580,15765289.760450918
2581,18565810.07433487
2582,18014151.0995603
2583,12084007.20194336
2584,14989259.929261807
2585,8450043.17911957
2586,9075452.932913234
2587,15708680.869255112
2588,37381590.75109062
2589,66998025.83231963
2590,46158781.15452251
2591,31753709.16335318
2592,33979871.99553774
2593,20953315.03631117
2594,12469317.254095027
2595,6979863.913761173
2596,7083585.038189982
2597,3362585.886567708
2598,1183302.7927276366
2599,5242947.283778047
2600,0.0
2601,0.0
2602,0.0
2603,0.0
2604,0.0
2605,5645193.630675098
2606,5414183.253860524
2607,5725928.1296005575
2608,7559803.815182688
2609,0.0
2610,19514292.78311583
2611,22088960.559047002
2612,8483905.231305242
2613,12084007.20194336
2614,22670502.13395175
2615,22062263.00320436
2616,10501680.84652075
2617,0.0
2618,0.0
2619,4290372.141949758
2620,13551244.935080191
2621,34374366.759712115
2622,57949974.08853701
2623,60377788.41719138
2624,22664207.771978322
2625,11319055.644968854
2626,13150578.146428645
2627,32097126.079488687
2628,34404129.96630989
2629,23447685.666645534
2630,18452050.63938292
2631,24007515.449902486
2632,43234904.55910293
2633,57281017.337750725
2634,60912252.411824435
2635,51502355.885087796
2636,57341707.45210154
2637,37514008.34840091
2638,17796214.181875274
2639,14586220.582166543
2640,22522197.641193487
2641,11136174.524378506
2642,26572192.84143857
2643,41893314.51278665
2644,51168186.30111407
2645,104588548.80452465
2646,110412015.52637616
2647,122022746.22762409
2648,51854984.516969256
2649,46955719.31666582
2650,64240092.729758136
2651,81520269.93674353
2652,99247542.2522948
2653,99803584.39721806
2654,77335254.9389283
2655,97025458.72533521
2656,93485865.9672931
2657,97105991.59505612
2658,62858211.31716043
2659,81526042.00991939
2660,74957882.09504546
2661,75636626.15978393
2662,103448452.1231438
2663,129263586.80009617
2664,167902318.5538966
2665,173521265.8801681
2666,173951778.57210505
2667,154939371.71767843
2668,167100469.55758947
2669,131330715.65297988
2670,143752876.6679804
2671,228583662.42158422
2672,140699608.84446564
2673,140356745.98028335
2674,133757584.10623175
2675,149619401.17689475
2676,144530700.38462135
2677,133692502.48778142
2678,112562949.62615302
2679,115953899.26246332
2680,80216584.8926491
2681,105083515.08240646
2682,81818334.73380123
2683,94861275.5813883
2684,122550593.00350481
2685,124118223.39062244
2686,105080260.60041192
2687,74589364.3896426
2688,93834918.76750438
2689,66948807.081352256
2690,84737144.93395634
2691,77143994.1168873
2692,85077043.64155343
2693,82821309.1552196
2694,158332222.0178681
2695,137521638.23611152
2696,45246515.86338285
2697,64674570.09404284
2698,97702597.52732268
2699,114485947.2567062
2700,120012218.34677444
2701,162391671.6807365
2702,151374156.59553513
2703,123480113.69240217
2704,120918477.6329324
2705,111406142.15413201
2706,105597102.93994726
2707,52072945.09185654
2708,58034467.290001005
2709,78118413.94722311
2710,130760456.0086428
2711,135123535.44339246
2712,167354925.1152704
2713,197163015.30688208
2714,194031741.54413512
2715,176889458.88288933
2716,107209946.77993685
2717,136759575.24972123
2718,150844348.803665
2719,133746327.10407406
2720,109528017.6602117
2721,106242822.4786136
2722,104864996.13975236
2723,118314032.72718816
2724,151117689.88842413
2725,124863598.95992303
2726,189106329.7489657
2727,207441656.63107696
2728,190539524.8889524
2729,122537876.34827706
2730,133097228.0512162
2731,75320670.24889995
2732,103704982.38723189
2733,179747754.0232819
2734,173222692.86893088
2735,164042141.39857507
2736,142025026.8917907
2737,99279480.90586738
2738,75953496.87923034
2739,81711799.13581601
2740,74777643.9382446
2741,67162247.08655952
2742,81057618.42230763
2743,68269506.87584813
2744,25966159.35315482
2745,36028602.35700038
2746,57756050.20143214
2747,73412101.52601555
2748,33804941.03870271
2749,31162477.298530567
2750,20471569.341936227
2751,20275726.34933279
2752,25559750.045066807
2753,44821383.03842001
2754,58800726.15346721
2755,58807436.09234618
2756,45918015.3378776
2757,25092570.53897708
2758,21996810.0992255
2759,17468629.404230323
2760,12824440.053463902
2761,7783110.947698643
2762,8456982.619736103
2763,9280534.899172926
2764,12022535.581167208
2765,10807450.335868422
2766,10970796.568161258
2767,12370430.619723119
2768,14097661.495637717
2769,12872907.590984173
2770,8985895.140993921
2771,8398960.539457798
2772,7962923.205963638
2773,2290452.7018284495
2774,2188831.6627646764
2775,3232266.320467864
2776,0.0
2777,0.0
2778,0.0
2779,0.0
2780,8025498.258405772
2781,9134795.416573992
2782,0.0
2783,8893814.255071603
2784,3311944.5679830764
2785,10160998.83208267
2786,3761708.3155097077
2787,3398803.6217459077
2788,9849618.936605817
2789,6147821.075808488
2790,2185137.759856975
2791,6114705.153885374
2792,0.0
2793,0.0
2794,0.0
2795,0.0
2796,0.0
2797,0.0
2798,0.0
2799,0.0
2800,0.0
